,obj,en_ngram_freq_1999_undivided,en_ngram_freq_1999_divided,en_ngram_freq_2019_undivided,en_ngram_1999_undivided,en_ngram_1999_divided,en_ngram_2019_undivided,en_survey_nontrans,ch_survey_nontrans,en_survey_raw,ch_survey_raw,en_ch_survey_raw,en_zipf,ch_zipf,en_survey_raw_sort,ch_survey_raw_sort
25,26,8.32e-08,8.32e-08,3.813e-07,0.00012236312610726125,0.0005012495089923682,0.00046169002037587097,0.008805917576611482,0.010806255898611299,1.5625,1.565,-0.00293,0.004177340905275001,0.004879315378293001,59,60
39,40,7.85e-06,3.92e-06,5.8485e-06,0.011545078605072125,0.02361656340444811,0.007081547558794339,0.010567101091933779,0.012902790885802885,1.875,1.869,0.00586,0.0044654333815,0.0055157478189400005,55,57
20,21,2.11e-05,2.11e-05,1.9670799999999998e-05,0.031031994721913612,0.1271197673045549,0.023818022692918127,0.010567101091933779,0.012606175003370634,1.875,1.826,0.04883,0.0044654333815,0.005285924993149999,54,58
46,47,8.113e-06,2.7e-06,7.644299999999999e-06,0.0119318755061083,0.016266510508165792,0.009255958622500051,0.013737231419513914,0.01620601321288931,2.438,2.348,0.08984,0.005395732002646,0.009061585702544001,44,31
53,54,9.570000000000001e-07,9.570000000000001e-07,7.626999999999999e-07,0.0014074700923635702,0.005765574280116543,0.0009235011238937234,0.01549841493483621,0.018309289470136172,2.75,2.652,0.09766,0.006166550860167,0.015857774979451,39,19
49,50,1.89e-05,9.43e-06,2.81059e-05,0.027796431291192757,0.05681229410814941,0.03403150680220874,0.019020781965480803,0.022205743562087096,3.375,3.217,0.1582,0.011772506187592,0.063431099917806,19,2
34,35,2.65e-05,2.94e-06,2.6936199999999998e-05,0.03897383223368297,0.017712422553336084,0.032615197290449864,0.012328284607256075,0.012902790885802885,2.188,1.869,0.3184,0.004980675694750999,0.0055157478189400005,48,56
22,23,8.113e-06,2.7e-06,7.644299999999999e-06,0.0119318755061083,0.016266510508165792,0.009255958622500051,0.014089468122578372,0.01500606714304975,2.5,2.174,0.3262,0.0056303290462399996,0.007047899990866999,43,42
36,37,2.8600000000000004e-05,3.17e-06,4.26366e-05,0.042062324599371065,0.01909808826329095,0.051625734914130236,0.01655512504402959,0.018012673587703924,2.938,2.61,0.3281,0.0071943093368619995,0.014095799981735,34,21
19,20,3.42e-07,3.42e-07,1.483e-07,0.0005029830424120595,0.002060424664367667,0.00017956629955872451,0.020077492074674182,0.022205743562087096,3.562,3.217,0.3457,0.016187196007939,0.063431099917806,15,3
