,obj,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20,21,22,24,mean,need_prob,rank,transformed_zipf
40,41,3.0,2.0,1.0,1.0,1.0,2.0,2.0,5.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,6.0,2.0,1.0,2.0,1.956,0.013502763920722664,21.0,0.006041057135029099
41,42,5.0,3.0,2.0,5.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,2.13,0.0147094512606175,19.0,0.006676957886084793
42,43,6.0,3.0,2.0,4.0,2.0,1.0,3.0,6.0,2.0,5.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0,2.521,0.017405959282728867,11.0,0.011532927257782826
43,44,6.0,3.0,2.0,2.0,2.0,1.0,4.0,5.0,3.0,4.0,3.0,3.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,3.0,2.0,1.0,2.564,0.017702575165161116,10.0,0.01268621998356111
44,45,6.0,3.0,2.0,4.0,2.0,1.0,4.0,2.0,2.0,5.0,3.0,5.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,3.0,2.652,0.018309289470136172,8.0,0.015857774979451386
45,46,4.0,4.0,2.0,2.0,2.0,2.0,4.0,5.0,4.0,5.0,2.0,2.0,4.0,4.0,4.0,1.0,2.0,3.0,1.0,4.0,3.0,4.0,4.0,3.13,0.021612511797222598,3.0,0.04228739994520369
46,47,2.0,2.0,2.0,5.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,4.0,2.0,1.0,4.0,2.348,0.01620601321288931,14.0,0.009061585702543649
47,48,3.0,3.0,2.0,2.0,1.0,2.0,2.0,5.0,2.0,5.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,2.652,0.018309289470136172,8.0,0.015857774979451386
48,49,3.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,1.0,1.0,1.739,0.012006201968450855,25.0,0.005074487993424443
49,50,5.0,4.0,2.0,2.0,2.0,3.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,4.0,4.0,2.0,2.0,2.0,1.0,5.0,2.0,2.0,1.0,3.217,0.022205743562087096,2.0,0.06343109991780554
50,51,1.0,3.0,1.0,5.0,2.0,1.0,2.0,3.0,1.0,3.0,4.0,5.0,2.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,3.0,4.0,3.0,2.436,0.016812727517864366,12.0,0.010571849986300922
51,52,2.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.956,0.013502763920722664,21.0,0.006041057135029099
52,53,2.0,3.0,2.0,1.0,2.0,1.0,2.0,5.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,2.305,0.01590939733045706,15.0,0.008457479989040739
53,54,2.0,4.0,2.0,4.0,1.0,2.0,3.0,6.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,1.0,2.0,3.0,1.0,3.0,2.0,2.0,3.0,2.652,0.018309289470136172,8.0,0.015857774979451386
54,55,2.0,5.0,1.0,5.0,2.0,1.0,3.0,1.0,1.0,4.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,1.0,2.0,4.0,2.0,1.0,1.0,2.305,0.01590939733045706,15.0,0.008457479989040739
55,56,2.0,4.0,2.0,4.0,1.0,1.0,3.0,6.0,2.0,3.0,4.0,4.0,4.0,2.0,3.0,2.0,3.0,5.0,2.0,3.0,2.0,3.0,1.0,2.87,0.019805851422407983,4.0,0.03171554995890277
56,57,2.0,4.0,3.0,4.0,2.0,1.0,2.0,5.0,2.0,1.0,4.0,4.0,3.0,2.0,2.0,2.0,4.0,5.0,1.0,4.0,2.0,5.0,2.0,2.87,0.019805851422407983,4.0,0.03171554995890277
57,58,5.0,3.0,2.0,5.0,1.0,1.0,3.0,5.0,2.0,5.0,3.0,4.0,3.0,2.0,3.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,2.652,0.018309289470136172,8.0,0.015857774979451386
58,59,3.0,4.0,2.0,3.0,1.0,1.0,2.0,5.0,1.0,1.0,3.0,4.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,2.13,0.0147094512606175,19.0,0.006676957886084793
59,60,4.0,4.0,2.0,3.0,1.0,1.0,2.0,5.0,3.0,5.0,4.0,3.0,4.0,3.0,5.0,2.0,3.0,2.0,1.0,4.0,3.0,6.0,2.0,3.13,0.021612511797222598,3.0,0.04228739994520369
