,obj,0,1,2,4,6,7,8,11,12,13,14,17,19,20,21,24,mean,need_prob,rank,transformed_zipf
50,51,2.0,5.0,5.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.8125,0.010214864388869321,30.0,0.004316585602117112
51,52,2.0,3.0,1.0,1.0,2.0,1.0,4.0,6.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.875,0.010567101091933779,29.0,0.00446543338150046
52,53,1.0,4.0,5.0,3.0,1.0,4.0,4.0,7.0,1.0,1.0,1.0,1.0,2.0,1.0,7.0,3.0,2.875,0.01620288834096513,19.0,0.0068156614770270175
53,54,2.0,3.0,3.0,2.0,2.0,4.0,4.0,6.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,7.0,2.75,0.01549841493483621,21.0,0.006166550860167302
54,55,2.0,6.0,2.0,3.0,2.0,3.0,7.0,6.0,4.0,7.0,7.0,6.0,3.0,1.0,1.0,7.0,4.188,0.023599859105318775,2.0,0.06474878403175667
55,56,2.0,5.0,5.0,6.0,2.0,3.0,7.0,5.0,4.0,7.0,7.0,5.0,2.0,1.0,1.0,5.0,4.188,0.023599859105318775,2.0,0.06474878403175667
56,57,1.0,5.0,6.0,4.0,4.0,4.0,4.0,7.0,2.0,5.0,1.0,2.0,2.0,1.0,1.0,7.0,3.5,0.019725255371609723,9.0,0.014388618673723704
57,58,2.0,1.0,1.0,1.0,1.0,4.0,4.0,6.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.9375,0.010919337794998239,28.0,0.004624913145125476
58,59,2.0,1.0,1.0,3.0,1.0,3.0,4.0,6.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.9375,0.010919337794998239,28.0,0.004624913145125476
59,60,2.0,6.0,6.0,6.0,5.0,4.0,4.0,6.0,6.0,7.0,1.0,6.0,2.0,1.0,1.0,7.0,4.375,0.02465656921451215,1.0,0.12949756806351334
